json_path,file_name,width,height,image_id,drug_N,drug_S,item_seq,dl_idx,dl_mapping_code,dl_name,dl_company,dl_material,di_class_no,di_etc_otc_code,back_color,drug_dir,light_color,camera_la,camera_lo,size,drug_shape,dl_custom_shape,form_code_name,color_class1,color_class2,print_front,print_back,line_front,line_back,label_cids,label_names,n_ann_total,n_ann_bbox_exists,n_ann_bbox_valid,bboxes,label_cid,label_name,is_multilabel
data\train_annotations\K-001900-016548-019607-029451_json\K-001900\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,976,1280,34,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[644, 845, 189, 190]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-001900\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,976,1280,35,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[148, 241, 181, 181]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-001900\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,976,1280,36,K-001900,정상알약,198700706,1900,K-001900,보령부스파정 5mg,보령제약(주),부스피론염산염,[01170]정신신경용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,장방형,"정제, 저작정",나정,하양,,BSP,5,,,[1900],['보령부스파정 5mg'],1,1,1,"[[167, 248, 184, 182]]",1900,보령부스파정 5mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-016548\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,976,1280,34,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,70,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[144, 799, 239, 239]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-016548\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,976,1280,35,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,75,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[578, 222, 233, 226]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-016548\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,976,1280,36,K-016548,정상알약,200500251,16548,K-016548,가바토파정 100mg,동아에스티(주),토피라메이트,[01130]항전간제,전문의약품,연회색 배경,앞면,주백색,90,0,200,,"정제, 저작정",,,,,,,,[16548],['가바토파정 100mg'],1,1,1,"[[604, 232, 239, 227]]",16548,가바토파정 100mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-019607\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,976,1280,34,K-019607,정상알약,200607849,19607,K-019607,스토가정 10mg,보령제약(주),라푸티딘,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,70,0,200,원형,"정제, 저작정",필름코팅정,하양,,FZ12,,,,[19607],['스토가정 10mg'],1,1,1,"[[657, 287, 155, 150]]",19607,스토가정 10mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-019607\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,976,1280,35,K-019607,정상알약,200607849,19607,K-019607,스토가정 10mg,보령제약(주),라푸티딘,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,75,0,200,원형,"정제, 저작정",필름코팅정,하양,,FZ12,,,,[19607],['스토가정 10mg'],1,1,1,"[[142, 848, 163, 158]]",19607,스토가정 10mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-019607\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,976,1280,36,K-019607,정상알약,200607849,19607,K-019607,스토가정 10mg,보령제약(주),라푸티딘,[02320]소화성궤양용제,전문의약품,연회색 배경,앞면,주백색,90,0,200,원형,"정제, 저작정",필름코팅정,하양,,FZ12,,,,[19607],['스토가정 10mg'],1,1,1,"[[177, 880, 158, 155]]",19607,스토가정 10mg,False
data\train_annotations\K-001900-016548-019607-029451_json\K-029451\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,976,1280,34,K-029451,정상알약,201201587,29451,K-029451,레일라정,(주)한국피엠지제약,당귀·모과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화25%에탄올연조엑스,[01140]해열.진통.소염제,전문의약품,연회색 배경,앞면,주백색,70,0,200,타원형,"정제, 저작정",필름코팅정,노랑,,LΛYLΛ,분할선,,-,[29451],['레일라정'],1,1,1,"[[108, 218, 392, 264]]",29451,레일라정,False
