json_path,file_name,image_id,bbox_idx,label_name,item_seq,drug_shape,img_w,img_h,x,y,w,h,area,rel_area,aspect,neg_coord,nonpos_wh,oob,nan_inf
data\train_annotations\K-001900-016548-019607-029451_json\K-001900\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,34,0,보령부스파정 5mg,198700706,장방형,976,1280,644,845,189,190,35910,0.0287445568647541,0.9947368421052631,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-001900\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,35,0,보령부스파정 5mg,198700706,장방형,976,1280,148,241,181,181,32761,0.026223904969262295,1.0,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-001900\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,36,0,보령부스파정 5mg,198700706,장방형,976,1280,167,248,184,182,33488,0.026805840163934426,1.010989010989011,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-016548\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,34,0,가바토파정 100mg,200500251,,976,1280,144,799,239,239,57121,0.04572313652663934,1.0,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-016548\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,35,0,가바토파정 100mg,200500251,,976,1280,578,222,233,226,52658,0.04215067879098361,1.0309734513274336,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-016548\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,36,0,가바토파정 100mg,200500251,,976,1280,604,232,239,227,54253,0.04342741419057377,1.052863436123348,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-019607\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,34,0,스토가정 10mg,200607849,원형,976,1280,657,287,155,150,23250,0.018610719774590164,1.0333333333333334,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-019607\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,35,0,스토가정 10mg,200607849,원형,976,1280,142,848,163,158,25754,0.020615074282786885,1.0316455696202531,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-019607\K-001900-016548-019607-029451_0_2_0_2_90_000_200.json,K-001900-016548-019607-029451_0_2_0_2_90_000_200.png,36,0,스토가정 10mg,200607849,원형,976,1280,177,880,158,155,24490,0.01960329149590164,1.0193548387096774,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-029451\K-001900-016548-019607-029451_0_2_0_2_70_000_200.json,K-001900-016548-019607-029451_0_2_0_2_70_000_200.png,34,0,레일라정,201201587,타원형,976,1280,108,218,392,264,103488,0.08283811475409836,1.4848484848484849,False,False,False,False
data\train_annotations\K-001900-016548-019607-029451_json\K-029451\K-001900-016548-019607-029451_0_2_0_2_75_000_200.json,K-001900-016548-019607-029451_0_2_0_2_75_000_200.png,35,0,레일라정,201201587,타원형,976,1280,471,779,407,272,110704,0.08861424180327869,1.4963235294117647,False,False,False,False
