dataset_name,total_annotations,unique_categories,avg_per_category
TL_10_단일,64800,50,1296.0
TL_11_단일,64800,50,1296.0
TL_12_단일,64584,50,1291.68
TL_13_단일,64800,50,1296.0
TL_14_단일,64800,50,1296.0
TL_15_단일,64800,50,1296.0
TL_16_단일,64584,50,1291.68
TL_17_단일,64800,50,1296.0
TL_18_단일,64698,50,1293.96
TL_19_단일,64800,50,1296.0
TL_1_단일,64800,50,1296.0
TL_1_조합,6011,41,146.609756097561
TL_20_단일,64800,50,1296.0
TL_21_단일,29592,50,591.84
TL_22_단일,25488,50,509.76
TL_23_단일,31320,50,626.4
TL_24_단일,20520,50,410.4
TL_25_단일,24624,50,492.48
TL_26_단일,21708,50,434.16
TL_27_단일,18576,50,371.52
TL_28_단일,17388,50,347.76
TL_29_단일,19440,50,388.8
TL_2_단일,64800,50,1296.0
TL_30_단일,18360,50,367.2
TL_31_단일,20844,50,416.88
TL_32_단일,22894,50,457.88
TL_33_단일,20088,50,401.76
TL_34_단일,27972,50,559.44
TL_35_단일,16308,50,326.16
TL_36_단일,21816,50,436.32
TL_37_단일,22464,50,449.28
TL_38_단일,12852,50,257.04
TL_39_단일,15336,50,306.72
TL_3_단일,64800,50,1296.0
TL_3_조합,5732,65,88.18461538461538
TL_40_단일,21600,50,432.0
TL_41_단일,15012,50,300.24
TL_42_단일,17928,50,358.56
TL_43_단일,14256,50,285.12
TL_44_단일,25596,50,511.92
TL_45_단일,17820,50,356.4
TL_46_단일,13176,50,263.52
TL_47_단일,18144,50,362.88
TL_48_단일,15984,50,319.68
TL_49_단일,18792,50,375.84
TL_4_단일,64368,50,1287.36
TL_4_조합,5466,65,84.0923076923077
TL_50_단일,26676,50,533.52
TL_51_단일,16848,50,336.96
TL_52_단일,18576,50,371.52
TL_53_단일,21492,50,429.84
TL_54_단일,16740,50,334.8
TL_55_단일,21492,50,429.84
TL_56_단일,19224,50,384.48
TL_57_단일,15228,50,304.56
TL_58_단일,15444,50,308.88
TL_59_단일,20412,50,408.24
TL_5_단일,64800,50,1296.0
TL_5_조합,5997,44,136.29545454545453
TL_60_단일,24192,50,483.84
TL_61_단일,17712,50,354.24
TL_62_단일,23436,50,468.72
TL_63_단일,16524,50,330.48
TL_64_단일,17280,50,345.6
TL_65_단일,16956,50,339.12
TL_66_단일,16308,50,326.16
TL_67_단일,16092,50,321.84
TL_68_단일,20304,50,406.08
TL_69_단일,18576,50,371.52
TL_6_단일,64800,50,1296.0
TL_6_조합,5999,63,95.22222222222223
TL_70_단일,14904,50,298.08
TL_71_단일,18036,50,360.72
TL_72_단일,17280,50,345.6
TL_73_단일,15876,50,317.52
TL_74_단일,16740,50,334.8
TL_75_단일,16092,50,321.84
TL_76_단일,12528,50,250.56
TL_77_단일,17928,50,358.56
TL_78_단일,18683,50,373.66
TL_79_단일,17388,50,347.76
TL_7_단일,64800,50,1296.0
TL_7_조합,5565,68,81.83823529411765
TL_80_단일,16632,50,332.64
TL_81_단일,9612,24,400.5
TL_8_단일,64800,50,1296.0
TL_8_조합,5643,39,144.69230769230768
TL_9_단일,64584,50,1291.68
VL_10_단일,16308,50,326.16
VL_1_단일,14472,50,289.44
VL_1_조합,5520,54,102.22222222222223
VL_2_단일,15768,50,315.36
VL_3_단일,13716,50,274.32
VL_4_단일,18576,50,371.52
VL_5_단일,15120,50,302.4
VL_6_단일,15228,50,304.56
VL_7_단일,13284,50,265.68
VL_8_단일,15444,50,308.88
VL_9_단일,22140,50,442.8
train_annotations,763,56,13.625
