category_id,global_index,category_name,dl_idx,total_count,num_datasets,top_datasets
26,0,아네모정 90mg/PTP,26,216,1,TL_21_단일(216)
29,1,테라싸이클린캡슐 250mg,29,324,1,TL_21_단일(324)
31,2,다이크로짇정(히드로클로로티아지드),31,1296,1,TL_21_단일(1296)
33,3,페니라민정 2mg,33,1296,1,TL_21_단일(1296)
39,4,유한짓정 100mg,39,1296,1,TL_21_단일(1296)
40,5,삐콤정 6mg/병,40,216,1,TL_21_단일(216)
41,6,푸라콩정,41,216,1,TL_21_단일(216)
42,7,디고신정(디곡신),42,1296,1,TL_21_단일(1296)
58,8,게루삼정 200mg/PTP,58,1296,1,TL_1_단일(1296)
64,9,크로세린캡슐 250mg,64,324,1,TL_21_단일(324)
65,10,후라시닐정(메트로니다졸),65,216,1,TL_21_단일(216)
68,11,타이밍정 50mg/PTP,68,1296,1,TL_1_단일(1296)
69,12,베스타제정,69,216,1,TL_21_단일(216)
79,13,마이암부톨제피정 400mg,79,1296,1,TL_1_단일(1296)
104,14,앰씰린캡슐 250mg,104,324,1,TL_21_단일(324)
111,15,아로나민골드정 72.2mg/PTP (수출용),111,1296,1,TL_1_단일(1296)
112,16,대웅우루사연질캡슐 50mg/PTP (수출용),112,324,1,TL_21_단일(324)
113,17,셉트린정,113,1296,1,TL_1_단일(1296)
114,18,자이로릭정(알로푸리놀),114,1296,1,TL_1_단일(1296)
116,19,액티피드정 60mg/PTP,116,1296,1,TL_21_단일(1296)
117,20,다오닐정5mg(수출용),117,1296,1,TL_1_단일(1296)
120,21,보나링에이정(디멘히드리네이트),120,1296,1,TL_1_단일(1296)
121,22,에나폰정 10mg,121,1296,1,TL_1_단일(1296)
123,23,대원아미노필린정,123,216,1,TL_21_단일(216)
124,24,부광페니토인캡슐 100mg,124,324,1,TL_21_단일(324)
134,25,타치온정50mg,134,216,1,TL_21_단일(216)
142,26,폰탈캡슐 250mg,142,324,1,TL_21_단일(324)
146,27,키모랄에스정 40mg/PTP,146,1296,1,TL_1_단일(1296)
162,28,기모타부정 40mg/통,162,216,1,TL_21_단일(216)
164,29,도란사민캡슐(트라넥삼산)(수출명:트라민캡슐),164,324,1,TL_21_단일(324)
165,30,에이티피장용정,165,216,1,TL_21_단일(216)
166,31,"동성정로환 120환, 500환/병",166,1296,1,TL_21_단일(1296)
167,32,후릭스정(푸로세미드),167,1296,1,TL_1_단일(1296)
177,33,코데날정,177,216,1,TL_21_단일(216)
179,34,맥페란정(메토클로프라미드),179,1296,1,TL_21_단일(1296)
182,35,리포덱스캅셀,182,324,1,TL_21_단일(324)
195,36,리팜핀캡슐 150mg,195,324,1,TL_21_단일(324)
207,37,센시발정10밀리그램(염산노르트립틸린),207,1296,1,TL_21_단일(1296)
208,38,센시발정25밀리그램(염산노르트립틸린),208,1296,1,TL_21_단일(1296)
211,39,리단정(탄산리튬),211,1296,1,TL_1_단일(1296)
229,40,탐부톨정 400mg,229,216,1,TL_21_단일(216)
230,41,인데놀정 10mg,230,1296,1,TL_21_단일(1296)
249,42,마그밀정(수산화마그네슘),249,1836,2,"TL_1_단일(1296), TL_1_조합(540)"
250,43,트레스탄캡슐 150mg/병,250,324,1,TL_21_단일(324)
254,44,부광살부타몰정 4mg,254,216,1,TL_21_단일(216)
255,45,뮤코졸정(브롬헥신염산염),255,1296,1,TL_21_단일(1296)
256,46,씬지로이드정 0.1mg,256,1296,1,TL_21_단일(1296)
259,47,신일브롬헥신염산염정,259,216,1,TL_21_단일(216)
270,48,아목사펜캡슐,270,324,1,TL_21_단일(324)
271,49,낙센정 250mg/PTP,271,1296,1,TL_1_단일(1296)
284,50,키목신캡슐 250mg,284,324,1,TL_21_단일(324)
