epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.63587,1.97977,4.69589,1.80138,0,0,0,0,0.54631,4.34688,0.85339,7e-05,7e-05,0.09307
2,9.82581,0.98684,3.92483,1.12685,0.01913,0.00395,0.01158,0.00832,1.35474,3.90698,1.18076,0.000148515,0.000148515,0.0851485
3,13.1916,0.96282,3.18626,1.10173,0.00736,0.11114,0.01985,0.01334,1.43348,3.75976,1.27342,0.000225446,0.000225446,0.0772254
4,16.8436,0.92017,2.75675,1.07325,0.01159,0.13277,0.02543,0.01391,1.69062,4.01819,1.4209,0.000300793,0.000300793,0.0693008
5,20.3995,0.95322,2.53606,1.09598,0.0278,0.31072,0.09722,0.06403,1.03399,3.69824,1.06909,0.000374556,0.000374556,0.0613746
6,23.8045,0.90085,2.26389,1.0735,0.01043,0.43056,0.11659,0.07081,1.31074,3.58394,1.1969,0.000446735,0.000446735,0.0534467
7,27.1727,0.88495,2.08848,1.06735,0.54157,0.14758,0.24031,0.17273,0.96578,3.18532,1.03352,0.00051733,0.00051733,0.0455173
8,30.4729,0.87583,1.83369,1.06775,0.70498,0.1536,0.27468,0.16418,1.33195,3.03343,1.24305,0.000586341,0.000586341,0.0375863
9,33.7248,0.87169,1.74417,1.05435,0.72945,0.20068,0.37985,0.29271,0.72916,2.69325,0.92949,0.000653768,0.000653768,0.0296538
10,36.9993,0.7713,1.63995,1.01116,0.72138,0.31516,0.44232,0.33069,0.88137,2.38913,1.00324,0.000719611,0.000719611,0.0217196
11,40.1638,0.79916,1.54996,1.02578,0.61203,0.48725,0.60738,0.43831,0.96454,1.89847,1.0217,0.00078387,0.00078387,0.0137839
12,43.3771,0.79669,1.47906,1.02989,0.65431,0.48061,0.57005,0.49501,0.54981,1.66407,0.85506,0.000846545,0.000846545,0.00584655
13,46.5758,0.74862,1.32872,1.0032,0.62454,0.56019,0.68471,0.53696,0.75144,1.51398,0.9177,0.0008812,0.0008812,0.0008812
