epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.101,0.41356,1.02054,0.84611,0.90674,0.87262,0.94962,0.88422,0.38212,0.61212,0.82045,0.000332988,0.000332988,0.0670342
2,987.565,0.35528,0.47185,0.82011,0.93079,0.95226,0.97054,0.92364,0.3249,0.68606,0.8042,0.000665002,0.000665002,0.0340329
3,1470.93,0.32767,0.37328,0.81249,0.96535,0.96839,0.97294,0.9361,0.29783,0.31621,0.79496,0.000995696,0.000995696,0.00103024
4,1976.6,0.3073,0.32946,0.80663,0.96754,0.98171,0.98082,0.95195,0.27363,0.31737,0.78945,0.00099406,0.00099406,0.00099406
5,2475.9,0.28949,0.29976,0.80288,0.96598,0.97666,0.98064,0.9513,0.2764,0.28484,0.79094,0.00099208,0.00099208,0.00099208
6,2957.72,0.27468,0.27864,0.79967,0.95397,0.97735,0.98105,0.95222,0.27202,0.34423,0.78905,0.0009901,0.0009901,0.0009901
7,3441.13,0.26934,0.27207,0.79876,0.97091,0.98768,0.98256,0.95913,0.25564,0.27935,0.78582,0.00098812,0.00098812,0.00098812
8,3920.1,0.2602,0.25693,0.79631,0.96401,0.98579,0.98346,0.96531,0.23977,0.30365,0.78282,0.00098614,0.00098614,0.00098614
9,4394.76,0.25529,0.25125,0.79488,0.97624,0.99018,0.98299,0.96685,0.22786,0.23169,0.78029,0.00098416,0.00098416,0.00098416
10,4862.91,0.24617,0.24054,0.79206,0.97314,0.98824,0.98351,0.9674,0.23329,0.23672,0.78101,0.00098218,0.00098218,0.00098218
11,5341.36,0.24,0.23867,0.79214,0.97619,0.99077,0.98395,0.96964,0.22443,0.26258,0.77865,0.0009802,0.0009802,0.0009802
12,5827.34,0.23476,0.23219,0.79147,0.97892,0.99302,0.98409,0.9717,0.21772,0.21029,0.77803,0.00097822,0.00097822,0.00097822
13,6300.8,0.23182,0.22685,0.78959,0.97595,0.99393,0.98469,0.96909,0.23293,0.2109,0.78157,0.00097624,0.00097624,0.00097624
14,6773.73,0.22655,0.22091,0.78882,0.9775,0.99118,0.98475,0.97331,0.21247,0.19372,0.77587,0.00097426,0.00097426,0.00097426
15,7255.54,0.22263,0.21394,0.78781,0.97771,0.99271,0.98432,0.97398,0.20523,0.20884,0.77532,0.00097228,0.00097228,0.00097228
16,7737.46,0.21763,0.21459,0.78712,0.9782,0.99425,0.98491,0.97407,0.21024,0.1999,0.77633,0.0009703,0.0009703,0.0009703
17,8217.97,0.21688,0.21102,0.78668,0.97851,0.99358,0.98568,0.97696,0.19757,0.2055,0.77394,0.00096832,0.00096832,0.00096832
18,8701.63,0.21505,0.21117,0.78598,0.97805,0.99427,0.98534,0.97664,0.19809,0.19199,0.77434,0.00096634,0.00096634,0.00096634
19,9184.7,0.21408,0.21065,0.78669,0.97836,0.99215,0.98445,0.97635,0.1936,0.21525,0.77329,0.00096436,0.00096436,0.00096436
20,9666.06,0.21141,0.21075,0.78562,0.97713,0.99206,0.98409,0.97552,0.19875,0.18664,0.77368,0.00096238,0.00096238,0.00096238
21,10138.8,0.20964,0.20797,0.78549,0.9793,0.99368,0.98564,0.9781,0.18792,0.18927,0.77204,0.0009604,0.0009604,0.0009604
22,10622.3,0.20697,0.20479,0.78533,0.97845,0.99122,0.98613,0.97782,0.19715,0.18098,0.77321,0.00095842,0.00095842,0.00095842
23,11098.8,0.20376,0.19759,0.78474,0.97858,0.9928,0.98574,0.97896,0.19354,0.18962,0.773,0.00095644,0.00095644,0.00095644
24,11576.6,0.20268,0.1999,0.78393,0.97687,0.99395,0.98606,0.97835,0.18955,0.18678,0.77207,0.00095446,0.00095446,0.00095446
25,12044.4,0.2033,0.19848,0.78433,0.97904,0.99316,0.98619,0.97872,0.18729,0.18906,0.77125,0.00095248,0.00095248,0.00095248
26,12514.3,0.19886,0.19381,0.78329,0.97901,0.99288,0.98668,0.9776,0.19679,0.19798,0.77359,0.0009505,0.0009505,0.0009505
27,12994.5,0.19598,0.18994,0.78112,0.97943,0.99378,0.98656,0.98057,0.18041,0.16672,0.77048,0.00094852,0.00094852,0.00094852
28,13462.5,0.19365,0.18979,0.7825,0.97874,0.99149,0.98753,0.98123,0.17944,0.19759,0.7703,0.00094654,0.00094654,0.00094654
29,13942.7,0.19373,0.18822,0.78186,0.97904,0.99418,0.98671,0.98148,0.17613,0.15641,0.7696,0.00094456,0.00094456,0.00094456
30,14412.6,0.19119,0.1901,0.78081,0.97829,0.99426,0.98703,0.98151,0.17339,0.16923,0.76888,0.00094258,0.00094258,0.00094258
31,14877.2,0.19327,0.18826,0.78179,0.97866,0.99367,0.98668,0.98134,0.17278,0.19203,0.76902,0.0009406,0.0009406,0.0009406
32,15356.8,0.18842,0.181,0.78134,0.97999,0.99379,0.98772,0.98279,0.17418,0.15706,0.76876,0.00093862,0.00093862,0.00093862
33,15821.1,0.18894,0.18447,0.78116,0.97945,0.99162,0.9876,0.98192,0.1736,0.19041,0.76938,0.00093664,0.00093664,0.00093664
34,16301.1,0.18858,0.1829,0.78165,0.97929,0.99427,0.98763,0.98236,0.17157,0.15639,0.76876,0.00093466,0.00093466,0.00093466
35,16783.4,0.18781,0.1845,0.78142,0.98017,0.99403,0.98773,0.98307,0.16745,0.15966,0.7679,0.00093268,0.00093268,0.00093268
36,17249.3,0.18437,0.18192,0.77955,0.97961,0.99381,0.98767,0.9824,0.1708,0.16667,0.76848,0.0009307,0.0009307,0.0009307
37,17713.4,0.18378,0.17868,0.78001,0.97969,0.99416,0.98765,0.98261,0.16676,0.15963,0.76757,0.00092872,0.00092872,0.00092872
38,18178.2,0.18258,0.17948,0.77947,0.97988,0.99377,0.98797,0.98377,0.16373,0.14643,0.76712,0.00092674,0.00092674,0.00092674
39,18645.2,0.18328,0.17875,0.78032,0.98023,0.99376,0.98825,0.9841,0.16362,0.14584,0.76702,0.00092476,0.00092476,0.00092476
40,19109.3,0.18195,0.18098,0.7803,0.98001,0.99368,0.98845,0.98397,0.16244,0.14942,0.76708,0.00092278,0.00092278,0.00092278
41,19577.9,0.18122,0.17931,0.77941,0.97988,0.99417,0.9885,0.98435,0.1609,0.14891,0.76666,0.0009208,0.0009208,0.0009208
42,20059.6,0.18081,0.17803,0.77951,0.98043,0.99174,0.98879,0.98457,0.16013,0.2032,0.76661,0.00091882,0.00091882,0.00091882
43,20543.1,0.1782,0.17677,0.77971,0.97956,0.99346,0.98847,0.98425,0.15822,0.1755,0.76617,0.00091684,0.00091684,0.00091684
44,21009.8,0.17901,0.17396,0.78038,0.97994,0.99407,0.98883,0.98468,0.15846,0.14409,0.76623,0.00091486,0.00091486,0.00091486
45,21481.1,0.17507,0.17143,0.77813,0.97989,0.99378,0.98925,0.98557,0.15694,0.14318,0.76575,0.00091288,0.00091288,0.00091288
46,21954.9,0.17362,0.16837,0.77747,0.98007,0.99414,0.98897,0.98512,0.15678,0.15787,0.76574,0.0009109,0.0009109,0.0009109
47,22432.2,0.17124,0.16844,0.77836,0.981,0.99365,0.9888,0.98562,0.15297,0.14389,0.76534,0.00090892,0.00090892,0.00090892
48,22901.6,0.17248,0.17014,0.77826,0.98001,0.99398,0.98918,0.98605,0.15358,0.13823,0.76532,0.00090694,0.00090694,0.00090694
49,23367.2,0.17352,0.17223,0.77864,0.97977,0.99463,0.98885,0.98525,0.15333,0.14487,0.76536,0.00090496,0.00090496,0.00090496
50,23831,0.17296,0.16959,0.77866,0.98036,0.99437,0.98952,0.98618,0.15214,0.13276,0.76519,0.00090298,0.00090298,0.00090298
51,24304.9,0.17014,0.16766,0.77764,0.9798,0.99462,0.98953,0.9863,0.15162,0.14097,0.76497,0.000901,0.000901,0.000901
52,24776,0.17215,0.16964,0.77755,0.98111,0.99433,0.98973,0.98673,0.15148,0.13491,0.76489,0.00089902,0.00089902,0.00089902
53,25245.2,0.17025,0.16998,0.77743,0.98047,0.99453,0.9897,0.98645,0.14981,0.13625,0.76465,0.00089704,0.00089704,0.00089704
54,25733,0.16841,0.16562,0.77796,0.98055,0.99428,0.99004,0.98714,0.14878,0.12931,0.76456,0.00089506,0.00089506,0.00089506
55,26203.5,0.16525,0.16283,0.77605,0.98067,0.99433,0.99018,0.98724,0.14909,0.12868,0.76436,0.00089308,0.00089308,0.00089308
56,26669.3,0.1671,0.16565,0.77726,0.98066,0.99451,0.98982,0.98704,0.14917,0.12874,0.76436,0.0008911,0.0008911,0.0008911
57,27133.5,0.16741,0.16233,0.77794,0.98088,0.99461,0.98985,0.98733,0.14731,0.12804,0.76407,0.00088912,0.00088912,0.00088912
58,27598.5,0.16507,0.16005,0.77678,0.98054,0.99438,0.99004,0.98741,0.14747,0.12733,0.76417,0.00088714,0.00088714,0.00088714
59,28075.3,0.16537,0.1644,0.77673,0.98063,0.99451,0.99002,0.98741,0.14728,0.12693,0.76418,0.00088516,0.00088516,0.00088516
60,28547.8,0.16331,0.16036,0.77683,0.98076,0.9947,0.99003,0.98734,0.14692,0.12776,0.76414,0.00088318,0.00088318,0.00088318
61,29021.4,0.16419,0.16251,0.77587,0.98049,0.9944,0.99,0.98725,0.1464,0.13338,0.76395,0.0008812,0.0008812,0.0008812
62,29519.8,0.16468,0.16128,0.77715,0.98033,0.99453,0.99031,0.98764,0.14549,0.13101,0.76379,0.00087922,0.00087922,0.00087922
63,30003.9,0.16422,0.15805,0.77685,0.9811,0.99464,0.99034,0.98769,0.1447,0.12544,0.76355,0.00087724,0.00087724,0.00087724
64,30489.6,0.16248,0.15944,0.77617,0.98038,0.99475,0.99063,0.98814,0.1444,0.12516,0.76345,0.00087526,0.00087526,0.00087526
65,30974.5,0.16163,0.16021,0.77662,0.98082,0.99451,0.99047,0.98802,0.14372,0.12547,0.76339,0.00087328,0.00087328,0.00087328
66,31457.5,0.163,0.16069,0.7764,0.98087,0.99459,0.99059,0.98796,0.14324,0.12593,0.76324,0.0008713,0.0008713,0.0008713
67,31934.4,0.16029,0.15655,0.77552,0.98087,0.99468,0.99086,0.98849,0.1425,0.12298,0.76319,0.00086932,0.00086932,0.00086932
68,32421.9,0.1611,0.15598,0.77543,0.98151,0.99446,0.9908,0.9882,0.14235,0.12553,0.76318,0.00086734,0.00086734,0.00086734
69,32908.7,0.15973,0.15605,0.77571,0.98115,0.99478,0.99091,0.98833,0.14202,0.12451,0.76313,0.00086536,0.00086536,0.00086536
70,33397.3,0.15766,0.1518,0.77432,0.98122,0.99469,0.99089,0.98851,0.14075,0.12283,0.7629,0.00086338,0.00086338,0.00086338
71,33887.2,0.1583,0.15488,0.77509,0.98104,0.99487,0.99096,0.98858,0.14055,0.12316,0.76269,0.0008614,0.0008614,0.0008614
72,34378.4,0.1582,0.15463,0.77518,0.98119,0.99486,0.99115,0.9887,0.14023,0.12223,0.76273,0.00085942,0.00085942,0.00085942
73,34868,0.15654,0.15277,0.77449,0.98137,0.99466,0.99117,0.98887,0.13943,0.11996,0.76269,0.00085744,0.00085744,0.00085744
74,35360.2,0.15406,0.15076,0.77425,0.98179,0.99441,0.99101,0.98862,0.13917,0.11989,0.76271,0.00085546,0.00085546,0.00085546
75,35856.6,0.15553,0.15234,0.77443,0.9818,0.99424,0.99108,0.98872,0.13907,0.1214,0.76278,0.00085348,0.00085348,0.00085348
76,36348.9,0.1568,0.15282,0.77462,0.98141,0.99417,0.99118,0.98889,0.13879,0.12225,0.76253,0.0008515,0.0008515,0.0008515
77,36844.2,0.15355,0.15027,0.77392,0.98171,0.9942,0.99114,0.98893,0.13811,0.11945,0.76236,0.00084952,0.00084952,0.00084952
78,37340.7,0.15369,0.1497,0.77461,0.98177,0.99424,0.99127,0.98895,0.13777,0.11958,0.76226,0.00084754,0.00084754,0.00084754
79,37837.4,0.15351,0.14865,0.77411,0.98168,0.9943,0.99117,0.98886,0.13736,0.12001,0.76215,0.00084556,0.00084556,0.00084556
80,38328,0.15192,0.14813,0.77411,0.9816,0.99437,0.99136,0.98913,0.13646,0.11811,0.76199,0.00084358,0.00084358,0.00084358
81,38819.8,0.15072,0.14624,0.77388,0.98145,0.99456,0.99122,0.98901,0.13617,0.11844,0.76193,0.0008416,0.0008416,0.0008416
82,39340.1,0.15124,0.14734,0.77368,0.98128,0.99465,0.99117,0.98902,0.13539,0.11843,0.76195,0.00083962,0.00083962,0.00083962
83,39871.7,0.14815,0.14607,0.77252,0.98121,0.99471,0.99139,0.98922,0.13484,0.11705,0.76171,0.00083764,0.00083764,0.00083764
84,40419.9,0.15082,0.14659,0.77289,0.98108,0.99504,0.99161,0.98952,0.13457,0.11713,0.76174,0.00083566,0.00083566,0.00083566
85,40977.2,0.15157,0.14821,0.77461,0.98155,0.99474,0.99165,0.98959,0.13442,0.11665,0.76167,0.00083368,0.00083368,0.00083368
86,41495,0.14851,0.14638,0.77315,0.98179,0.99465,0.99175,0.98964,0.1345,0.11739,0.76167,0.0008317,0.0008317,0.0008317
87,42024.9,0.14719,0.14354,0.77244,0.98196,0.99475,0.99175,0.98974,0.13437,0.11763,0.76154,0.00082972,0.00082972,0.00082972
88,42532,0.14829,0.14533,0.7726,0.98182,0.99453,0.99174,0.98972,0.13422,0.11896,0.76152,0.00082774,0.00082774,0.00082774
89,43052.8,0.14838,0.14372,0.7734,0.98168,0.99484,0.99185,0.98982,0.1339,0.11745,0.76153,0.00082576,0.00082576,0.00082576
90,43573.2,0.14617,0.14219,0.77249,0.98161,0.99488,0.99194,0.98986,0.13359,0.11653,0.76151,0.00082378,0.00082378,0.00082378
91,44087.8,0.14619,0.14225,0.77325,0.98196,0.99476,0.99195,0.98995,0.13298,0.11503,0.76136,0.0008218,0.0008218,0.0008218
92,44591.7,0.14682,0.14183,0.77311,0.98199,0.99501,0.992,0.99003,0.13271,0.11438,0.76128,0.00081982,0.00081982,0.00081982
93,45102.2,0.14568,0.14254,0.77313,0.982,0.99492,0.99203,0.9901,0.13231,0.11467,0.76119,0.00081784,0.00081784,0.00081784
94,45622.3,0.14669,0.14227,0.77259,0.98185,0.99495,0.99194,0.99001,0.13214,0.11465,0.76111,0.00081586,0.00081586,0.00081586
95,46119.4,0.14572,0.14201,0.77226,0.98201,0.99493,0.99191,0.98993,0.13209,0.11478,0.7611,0.00081388,0.00081388,0.00081388
96,46655.6,0.14718,0.14455,0.77464,0.98171,0.99513,0.9919,0.98994,0.13202,0.1139,0.76102,0.0008119,0.0008119,0.0008119
97,47173.7,0.14723,0.1428,0.77294,0.98177,0.99493,0.9918,0.98984,0.13196,0.11337,0.76098,0.00080992,0.00080992,0.00080992
