epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3525,0.32429,0.46786,0.80847,0.65855,0.74672,0.82437,0.77863,0.32043,1.14319,0.78298,2.8e-05,2.8e-05,0.072028
2,33.0753,0.31338,0.41991,0.80653,0.84163,0.87942,0.97439,0.91217,0.34201,0.59465,0.78501,5.64585e-05,5.64585e-05,0.0430565
3,49.0744,0.27603,0.37739,0.80265,0.95304,0.973,0.99368,0.97551,0.22917,0.27509,0.76449,8.4366e-05,8.4366e-05,0.0140844
4,65.1727,0.26845,0.35167,0.80188,0.96945,0.97334,0.99408,0.97703,0.2395,0.25287,0.76674,9.715e-05,9.715e-05,9.715e-05
5,80.9381,0.27262,0.36127,0.81427,0.96174,0.98824,0.99407,0.98087,0.21459,0.24408,0.7628,9.62e-05,9.62e-05,9.62e-05
6,96.1296,0.2685,0.36402,0.805,0.975,0.98782,0.99409,0.98703,0.20262,0.24095,0.76077,9.525e-05,9.525e-05,9.525e-05
7,111.322,0.2563,0.33379,0.79627,0.97736,0.99115,0.99425,0.98683,0.21181,0.23723,0.7615,9.43e-05,9.43e-05,9.43e-05
8,126.487,0.26836,0.3249,0.79617,0.97618,0.99097,0.9942,0.98628,0.20975,0.23031,0.76101,9.335e-05,9.335e-05,9.335e-05
9,141.687,0.26043,0.3365,0.79955,0.97668,0.98874,0.99405,0.98706,0.19512,0.22613,0.7593,9.24e-05,9.24e-05,9.24e-05
10,156.897,0.25688,0.32774,0.79313,0.97494,0.98906,0.99405,0.98833,0.20037,0.2282,0.76023,9.145e-05,9.145e-05,9.145e-05
11,172.1,0.25109,0.30821,0.79611,0.97809,0.98965,0.9941,0.9862,0.20134,0.22373,0.76063,9.05e-05,9.05e-05,9.05e-05
12,187.226,0.25697,0.33975,0.80591,0.97829,0.99061,0.99424,0.9871,0.19761,0.22313,0.75972,8.955e-05,8.955e-05,8.955e-05
13,202.489,0.24876,0.3077,0.79711,0.98203,0.98976,0.99428,0.98822,0.20441,0.2233,0.76009,8.86e-05,8.86e-05,8.86e-05
14,217.634,0.2508,0.29728,0.79686,0.97974,0.98761,0.99389,0.98873,0.19729,0.22227,0.75954,8.765e-05,8.765e-05,8.765e-05
15,232.858,0.25202,0.30968,0.79586,0.97696,0.98627,0.99396,0.98995,0.20169,0.22443,0.76017,8.67e-05,8.67e-05,8.67e-05
16,247.857,0.24572,0.30292,0.79344,0.97856,0.98768,0.99395,0.98755,0.21216,0.22211,0.76205,8.575e-05,8.575e-05,8.575e-05
17,263.018,0.24616,0.31376,0.79129,0.97933,0.98906,0.99395,0.98899,0.19592,0.21423,0.75978,8.48e-05,8.48e-05,8.48e-05
