epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9274,0.3058,0.40884,0.80555,0.9258,0.98335,0.99388,0.9676,0.24726,0.29876,0.76758,2.8e-05,2.8e-05,0.072028
2,29.5978,0.29526,0.38468,0.81659,0.9732,0.98002,0.99427,0.98159,0.22932,0.27293,0.76431,5.66526e-05,5.66526e-05,0.0430567
3,44.4512,0.2734,0.38265,0.80004,0.97486,0.99156,0.99409,0.98523,0.20737,0.24859,0.76103,8.39165e-05,8.39165e-05,0.0140839
4,58.8488,0.26456,0.35575,0.79799,0.97919,0.98938,0.99474,0.98592,0.20506,0.24114,0.7615,9.46048e-05,9.46048e-05,9.46048e-05
5,73.8483,0.26977,0.35013,0.80275,0.98261,0.98987,0.99482,0.98793,0.20907,0.23794,0.76198,9.05463e-05,9.05463e-05,9.05463e-05
6,88.4117,0.25317,0.33545,0.79117,0.98249,0.98971,0.99476,0.98791,0.19864,0.23409,0.76036,8.55018e-05,8.55018e-05,8.55018e-05
7,103.138,0.2607,0.34934,0.79634,0.98275,0.98717,0.99417,0.9863,0.19532,0.22944,0.76057,7.95954e-05,7.95954e-05,7.95954e-05
8,118.031,0.24938,0.312,0.80107,0.9822,0.98881,0.99476,0.98678,0.1955,0.22816,0.76099,7.29725e-05,7.29725e-05,7.29725e-05
9,132.83,0.24388,0.32205,0.79987,0.98269,0.98972,0.99464,0.98818,0.19855,0.22845,0.76131,6.57963e-05,6.57963e-05,6.57963e-05
10,147.448,0.24649,0.31962,0.7997,0.98326,0.99036,0.99458,0.98868,0.19635,0.22734,0.7611,5.82435e-05,5.82435e-05,5.82435e-05
11,162.158,0.21788,0.26005,0.78908,0.98221,0.99117,0.99426,0.98754,0.18959,0.22123,0.76002,5.05e-05,5.05e-05,5.05e-05
12,176.799,0.21201,0.26603,0.78172,0.98181,0.99016,0.99428,0.98838,0.19627,0.22355,0.76101,4.27565e-05,4.27565e-05,4.27565e-05
13,191.392,0.21387,0.26354,0.77274,0.9816,0.99004,0.99417,0.9869,0.20192,0.22517,0.76169,3.52037e-05,3.52037e-05,3.52037e-05
14,205.939,0.21318,0.26971,0.78282,0.98326,0.99027,0.99397,0.98647,0.19603,0.22072,0.76093,2.80275e-05,2.80275e-05,2.80275e-05
15,220.403,0.21439,0.26842,0.78783,0.98321,0.99064,0.9941,0.98656,0.18987,0.21556,0.7602,2.14046e-05,2.14046e-05,2.14046e-05
16,235.24,0.21035,0.25889,0.78105,0.98325,0.99053,0.99404,0.98734,0.18813,0.21457,0.75994,1.54982e-05,1.54982e-05,1.54982e-05
17,249.892,0.2128,0.2584,0.78109,0.98286,0.99047,0.99405,0.98779,0.1878,0.21446,0.75985,1.04537e-05,1.04537e-05,1.04537e-05
18,265.299,0.2089,0.26136,0.78217,0.98268,0.99055,0.99405,0.98707,0.18844,0.21418,0.75998,6.39518e-06,6.39518e-06,6.39518e-06
19,280.208,0.21015,0.26477,0.77737,0.98271,0.99036,0.99405,0.98562,0.18943,0.21474,0.76006,3.4227e-06,3.4227e-06,3.4227e-06
20,295.426,0.20643,0.25958,0.78286,0.983,0.99023,0.99412,0.98604,0.18916,0.21485,0.75995,1.60943e-06,1.60943e-06,1.60943e-06
