epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72115,1.46284,4.45014,1.3842,0,0,0,0,1.00617,4.16108,1.05224,0.00011,0.00011,0.08911
2,14.9641,0.88591,3.28929,1.06058,0.01964,0.20848,0.03132,0.0235,1.2126,3.81181,1.12881,0.00020723,0.00020723,0.0772072
3,20.9472,0.90724,2.92649,1.06079,0.0081,0.28605,0.08153,0.05245,1.48613,3.70248,1.23363,0.0002807,0.0002807,0.0652807
4,26.6394,0.87456,2.52222,1.0511,0.02943,0.47287,0.11771,0.07275,1.51448,3.59821,1.22705,0.00033041,0.00033041,0.0533304
5,32.3753,0.88687,2.422,1.05288,0.02591,0.60969,0.17941,0.14753,0.90242,3.37477,0.98906,0.00035636,0.00035636,0.0413564
6,37.887,0.82249,2.27196,1.02553,0.04797,0.72393,0.2435,0.17321,1.21646,3.17816,1.13606,0.00035855,0.00035855,0.0293585
7,43.8931,0.80309,2.10033,1.01387,0.4641,0.29022,0.33376,0.27226,0.8556,2.89904,0.97881,0.00033698,0.00033698,0.017337
8,49.7719,0.78013,2.03324,1.02141,0.60101,0.33081,0.4802,0.38221,0.97003,2.30081,1.03155,0.00029165,0.00029165,0.00529165
9,55.8822,0.77764,1.91386,1.01047,0.66573,0.47015,0.54086,0.44362,0.86785,2.00728,0.97999,0.000208,0.000208,0.000208
10,61.6735,0.78798,1.92499,1.01217,0.67522,0.49767,0.60856,0.49919,0.84715,1.82884,0.9675,0.000109,0.000109,0.000109
