epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7164,1.74091,3.93559,1.81655,0,0,0,0,nan,nan,nan,0.0102155,0.0102155,0.0775914
2,22.9545,1.60583,3.44066,1.73743,0,0,0,0,2.92491,inf,28.4156,0.0204486,0.0204486,0.0544911
3,36.166,1.50993,3.14148,1.64076,0.00095,0.02663,0.00096,0.00023,3.1891,inf,25.5345,0.030475,0.030475,0.0311842
4,45.9859,1.44599,2.97256,1.62677,0.26707,0.03407,0.00972,0.00602,2.94226,330.167,10.6464,0.0303827,0.0303827,0.0303827
5,57.9385,1.4369,2.88745,1.60692,0.46402,0.17519,0.07348,0.05109,1.17024,6.60274,1.44099,0.0300727,0.0300727,0.0300727
6,68.1027,1.36994,2.71169,1.55739,0.30401,0.31434,0.13409,0.09611,1.16384,4.56275,1.73458,0.0297627,0.0297627,0.0297627
7,79.5209,1.31442,2.57846,1.50341,0.40045,0.24996,0.10596,0.07085,1.43594,7.84867,1.5725,0.0294527,0.0294527,0.0294527
8,90.31,1.298,2.56228,1.48299,0.43782,0.33109,0.25907,0.17809,1.15296,2.99631,1.34359,0.0291427,0.0291427,0.0291427
9,102.752,1.25179,2.48699,1.46877,0.31425,0.31124,0.18352,0.11965,1.23715,3.47425,1.36611,0.0288327,0.0288327,0.0288327
10,113.137,1.25667,2.41476,1.46143,0.52467,0.28447,0.30216,0.16606,1.74357,2.61156,1.835,0.0285227,0.0285227,0.0285227
11,125.207,1.29243,2.37212,1.49116,0.4681,0.32289,0.21988,0.14923,1.09409,3.25708,1.29801,0.0282127,0.0282127,0.0282127
12,136.331,1.2678,2.31159,1.45754,0.42738,0.46691,0.33474,0.22073,1.38582,2.7764,1.44389,0.0279027,0.0279027,0.0279027
13,149.152,1.28642,2.26671,1.48377,0.476,0.34757,0.34096,0.16765,1.80625,2.59171,1.79287,0.0275927,0.0275927,0.0275927
14,159.441,1.26203,2.19686,1.43268,0.41429,0.29876,0.21502,0.13383,1.39417,3.5721,1.4488,0.0272827,0.0272827,0.0272827
15,171.285,1.2437,2.16716,1.43657,0.43481,0.18824,0.21093,0.15739,0.88967,65.9363,1.15239,0.0269727,0.0269727,0.0269727
16,181.489,1.27645,2.14267,1.47306,0.43791,0.42884,0.37911,0.24643,1.39717,2.5135,1.47286,0.0266628,0.0266628,0.0266628
17,193.903,1.19902,2.0851,1.40819,0.47033,0.55192,0.47129,0.2875,1.48322,1.8236,1.49016,0.0263528,0.0263528,0.0263528
18,205.128,1.18749,1.97301,1.39672,0.51967,0.39851,0.40073,0.2657,1.33284,6.46868,1.39244,0.0260428,0.0260428,0.0260428
19,217.646,1.20722,2.01222,1.40889,0.01837,0.30039,0.06919,0.05258,1.00157,6.32579,1.21403,0.0257328,0.0257328,0.0257328
